Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
FormatPlainText,1,6,0,0,2,231,17,0,1,0,8,0
Timeout<T>,6,16,0,0,11,295,18,0,1,0.25,2,0
IPromise,0,7,0,0,0,122,7,5,0,-1,0,8
Timeout,0,4,0,0,4,67,4,0,1,-1,0,3
WhenAll,7,12,1,0,7,261,12,0,1,0,3,1
Deferred<T>,0,2,0,0,2,44,2,0,1,-1,2,0
Deferred,6,12,3,0,8,446,18,1,1,0.1700000017881393,2,6
CharacterData,17,20,0,1,8,414,25,0,0,0.300000011920929,3,19
CharacterType,0,0,0,0,0,124,0,0,0,-1,0,14
ICharacterInfo,0,0,5,0,0,34,0,1,1,-1,0,7
IExpectPattern,0,2,2,0,0,46,2,1,0,-1,0,2
IStringInfo,0,0,2,0,0,14,0,1,1,-1,0,2
IStringScanner,0,50,15,0,0,434,50,1,0,-1,1,8
IValueInfo,0,0,11,0,0,71,0,2,0,-1,0,1
MatchFunctions,0,14,3,0,14,289,16,0,0,-1,9,6
Scanner,0,1,0,0,1,19,1,0,0,-1,1,7
ExtensionMethods,0,2,0,0,2,48,4,0,0,-1,0,0
CharacterInfo,0,4,17,0,4,268,4,0,2,-1,0,3
ExpectPattern,4,6,2,0,2,273,17,4,1,0.3300000131130219,3,2
StringInfo,10,5,14,0,4,295,7,0,2,1,1,1
StringScannerEngine,8,70,19,0,54,1128,115,0,1,0.09000000357627869,8,2
Bounded,10,3,5,0,2,196,15,0,2,0,3,2
HtmlIDSelector,0,2,0,0,1,34,2,0,1,-1,2,1
HTMLTagSelectorName,0,2,0,0,1,29,3,0,1,-1,2,1
HTMLAttributeName,0,2,0,0,1,30,3,0,1,-1,2,1
CssClassName,0,2,0,0,1,32,3,0,1,-1,2,0
EscapedString,3,4,0,0,3,114,7,4,2,0.75,2,0
Number,2,3,1,0,2,124,7,0,2,0,2,1
OptionallyQuoted,1,7,1,0,4,138,10,0,1,0.2899999916553497,3,3
Quoted,1,3,0,0,1,89,7,1,2,0,1,2
ExtensionMethods,0,15,0,0,10,390,25,0,0,-1,6,0
FastActivator,2,2,0,0,2,62,4,0,0,0,0,3
SelectorCache,2,2,1,0,2,65,3,0,0,0,2,0
Types,0,1,0,0,1,23,1,0,0,-1,0,0
Browser,1,1,4,0,1,63,1,0,0,0,0,1
IJsonSerializer,0,3,0,0,0,50,3,1,0,-1,0,1
JsonSerializer,2,6,1,0,3,190,8,0,1,0.5,2,1
Support,0,29,0,0,28,783,62,0,0,-1,2,13
JSON,2,19,0,0,13,539,36,0,0,0.1099999994039536,4,7
RequestState,0,0,0,0,0,24,0,0,0,-1,0,0
ICsqWebRequestMetadata,0,0,2,0,0,14,0,1,0,-1,0,0
WebForms,0,2,0,0,2,57,2,0,0,-1,1,0
AsyncWebRequestManager,3,6,1,0,5,173,10,0,0,0.6700000166893005,3,1
ICsqWebResponse,0,0,9,0,0,56,0,1,1,-1,0,3
AsyncPostbackData,6,3,4,1,3,139,4,0,0,0,2,1
IAsyncRequestQueue,0,3,1,0,0,39,3,0,1,-1,1,0
ICsqWebRequest,0,0,5,0,0,33,0,3,1,-1,0,3
IWebRequestInfo,0,0,0,0,0,3,0,0,0,-1,0,0
CsqWebRequest,3,13,11,0,11,456,15,0,2,0,8,5
AsyncWebRequest,3,6,21,0,4,431,7,0,2,0.6700000166893005,5,2
ServerConfig,1,3,4,0,2,112,8,0,0,0.6700000166893005,1,6
WebRequestState,5,1,0,4,1,45,1,0,0,0,2,1
CsQueryHttpContext,5,4,8,0,4,266,11,0,0,0,3,1
ExtensionMethods,0,43,0,0,43,998,77,0,0,-1,3,0
ExtensionMethods,0,19,0,0,19,522,43,0,0,-1,3,0
