Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Div,1,7,0,0,6,57,8,2,0,1,7,28
IBlockElement,0,0,0,0,0,2,0,1,1,-1,0,6
IElement,0,3,0,0,0,32,3,4,1,-1,1,7
ILargeElement,0,5,0,0,0,27,5,1,2,-1,1,2
ILeafElement,0,0,0,0,0,2,0,3,2,-1,0,1
Image,2,58,0,0,56,676,63,0,3,0.5199999809265137,13,31
LineSeparator,1,3,0,0,2,24,4,0,0,1,5,2
Link,0,6,0,0,5,54,7,0,1,-1,7,3
List,2,19,0,1,18,245,22,0,0,0.8399999737739563,10,14
ListItem,0,10,0,0,9,94,13,0,1,-1,10,6
Paragraph,1,17,0,0,15,206,23,0,0,0.7599999904632568,12,46
Tab,0,1,0,0,0,5,1,0,3,-1,1,1
